experiment_id,bias_id,model_id,bias,experiment_type,scenario,model,local,temperature,system,content,variables,response_type,target_response,part,parts_total,ran_date,correct_ran_loops,total_ran_loops,updated_at
10110,101,10,endowment effect,multi-scenario,0_normal,gemma2,true,0.7,All,I hand you a mug. You now own the mug. You can feel it and look at it in detail from all angles. The mug was originally priced at $ price_value but the value of the mug is different for different individuals. What price would you sell it for? $ __,"{""price_value"": 4}",numerical,,1,2,2024-11-01 22:06:40.285471,100,100,2025-01-04 17:14:56.419830+00:00
10111,101,11,endowment effect,multi-scenario,0_normal,gemma2,true,1,All,I hand you a mug. You now own the mug. You can feel it and look at it in detail from all angles. The mug was originally priced at $ price_value but the value of the mug is different for different individuals. What price would you sell it for? $ __,"{""price_value"": 4}",numerical,,1,2,2024-11-04 18:01:44.004204,100,100,2025-01-04 17:14:56.419830+00:00
10112,101,12,endowment effect,multi-scenario,0_normal,gemma2,true,1.3,All,I hand you a mug. You now own the mug. You can feel it and look at it in detail from all angles. The mug was originally priced at $ price_value but the value of the mug is different for different individuals. What price would you sell it for? $ __,"{""price_value"": 4}",numerical,,1,2,2024-11-04 17:58:52.579635,100,100,2025-01-04 17:14:56.419830+00:00
10113,101,13,endowment effect,multi-scenario,0_normal,gemma2,true,0.2,All,I hand you a mug. You now own the mug. You can feel it and look at it in detail from all angles. The mug was originally priced at $ price_value but the value of the mug is different for different individuals. What price would you sell it for? $ __,"{""price_value"": 4}",numerical,,1,2,2024-11-07 23:22:38.285231,100,100,2025-01-04 17:14:56.419830+00:00
10114,101,14,endowment effect,multi-scenario,0_normal,gemma2,true,1.8,All,I hand you a mug. You now own the mug. You can feel it and look at it in detail from all angles. The mug was originally priced at $ price_value but the value of the mug is different for different individuals. What price would you sell it for? $ __,"{""price_value"": 4}",numerical,,1,2,2024-11-07 23:22:12.148109,100,100,2025-01-04 17:14:56.419830+00:00
10120,101,20,endowment effect,multi-scenario,0_normal,gemma2:27b,true,0.7,Linux,I hand you a mug. You now own the mug. You can feel it and look at it in detail from all angles. The mug was originally priced at $ price_value but the value of the mug is different for different individuals. What price would you sell it for? $ __,"{""price_value"": 4}",numerical,,1,2,2024-11-02 06:06:37.572822,100,100,2025-01-04 17:14:56.419830+00:00
10121,101,21,endowment effect,multi-scenario,0_normal,gemma2:27b,true,1,Linux,I hand you a mug. You now own the mug. You can feel it and look at it in detail from all angles. The mug was originally priced at $ price_value but the value of the mug is different for different individuals. What price would you sell it for? $ __,"{""price_value"": 4}",numerical,,1,2,2024-11-04 23:57:34.383200,100,100,2025-01-04 17:14:56.419830+00:00
10122,101,22,endowment effect,multi-scenario,0_normal,gemma2:27b,true,1.3,Linux,I hand you a mug. You now own the mug. You can feel it and look at it in detail from all angles. The mug was originally priced at $ price_value but the value of the mug is different for different individuals. What price would you sell it for? $ __,"{""price_value"": 4}",numerical,,1,2,2024-11-04 23:57:14.091210,100,100,2025-01-04 17:14:56.419830+00:00
10123,101,23,endowment effect,multi-scenario,0_normal,gemma2:27b,true,0.2,Linux,I hand you a mug. You now own the mug. You can feel it and look at it in detail from all angles. The mug was originally priced at $ price_value but the value of the mug is different for different individuals. What price would you sell it for? $ __,"{""price_value"": 4}",numerical,,1,2,2024-11-10 17:08:12.294194,100,100,2025-01-04 17:14:56.419830+00:00
10124,101,24,endowment effect,multi-scenario,0_normal,gemma2:27b,true,1.8,Linux,I hand you a mug. You now own the mug. You can feel it and look at it in detail from all angles. The mug was originally priced at $ price_value but the value of the mug is different for different individuals. What price would you sell it for? $ __,"{""price_value"": 4}",numerical,,1,2,2024-11-10 17:09:50.633502,100,100,2025-01-04 17:14:56.419830+00:00
10130,101,30,endowment effect,multi-scenario,0_normal,gpt-4o-mini,false,0.7,All,I hand you a mug. You now own the mug. You can feel it and look at it in detail from all angles. The mug was originally priced at $ price_value but the value of the mug is different for different individuals. What price would you sell it for? $ __,"{""price_value"": 4}",numerical,,1,2,2024-11-04 14:38:08.696518,100,100,2025-01-04 17:14:56.419830+00:00
10131,101,31,endowment effect,multi-scenario,0_normal,gpt-4o-mini,false,1,All,I hand you a mug. You now own the mug. You can feel it and look at it in detail from all angles. The mug was originally priced at $ price_value but the value of the mug is different for different individuals. What price would you sell it for? $ __,"{""price_value"": 4}",numerical,,1,2,2024-11-05 18:29:18.416673,100,100,2025-01-04 17:14:56.419830+00:00
10132,101,32,endowment effect,multi-scenario,0_normal,gpt-4o-mini,false,1.3,All,I hand you a mug. You now own the mug. You can feel it and look at it in detail from all angles. The mug was originally priced at $ price_value but the value of the mug is different for different individuals. What price would you sell it for? $ __,"{""price_value"": 4}",numerical,,1,2,2024-11-05 18:24:48.143244,100,100,2025-01-04 17:14:56.419830+00:00
10133,101,33,endowment effect,multi-scenario,0_normal,gpt-4o-mini,false,0.2,All,I hand you a mug. You now own the mug. You can feel it and look at it in detail from all angles. The mug was originally priced at $ price_value but the value of the mug is different for different individuals. What price would you sell it for? $ __,"{""price_value"": 4}",numerical,,1,2,2024-11-10 11:12:44.175392,100,100,2025-01-04 17:14:56.419830+00:00
10134,101,34,endowment effect,multi-scenario,0_normal,gpt-4o-mini,false,1.8,All,I hand you a mug. You now own the mug. You can feel it and look at it in detail from all angles. The mug was originally priced at $ price_value but the value of the mug is different for different individuals. What price would you sell it for? $ __,"{""price_value"": 4}",numerical,,1,2,2024-11-10 11:05:45.942843,100,100,2025-01-04 17:14:56.419830+00:00
10140,101,40,endowment effect,multi-scenario,0_normal,gpt-4o,false,0.7,All,I hand you a mug. You now own the mug. You can feel it and look at it in detail from all angles. The mug was originally priced at $ price_value but the value of the mug is different for different individuals. What price would you sell it for? $ __,"{""price_value"": 4}",numerical,,1,2,2024-11-04 15:40:13.151559,100,100,2025-01-04 17:14:56.419830+00:00
10141,101,41,endowment effect,multi-scenario,0_normal,gpt-4o,false,1,All,I hand you a mug. You now own the mug. You can feel it and look at it in detail from all angles. The mug was originally priced at $ price_value but the value of the mug is different for different individuals. What price would you sell it for? $ __,"{""price_value"": 4}",numerical,,1,2,2024-11-05 20:35:31.504542,100,100,2025-01-04 17:14:56.419830+00:00
10142,101,42,endowment effect,multi-scenario,0_normal,gpt-4o,false,1.3,All,I hand you a mug. You now own the mug. You can feel it and look at it in detail from all angles. The mug was originally priced at $ price_value but the value of the mug is different for different individuals. What price would you sell it for? $ __,"{""price_value"": 4}",numerical,,1,2,2024-11-05 20:45:16.033085,100,100,2025-01-04 17:14:56.419830+00:00
10143,101,43,endowment effect,multi-scenario,0_normal,gpt-4o,false,0.2,All,I hand you a mug. You now own the mug. You can feel it and look at it in detail from all angles. The mug was originally priced at $ price_value but the value of the mug is different for different individuals. What price would you sell it for? $ __,"{""price_value"": 4}",numerical,,1,2,2024-11-11 17:14:08.843804,100,100,2025-01-04 17:14:56.419830+00:00
10144,101,44,endowment effect,multi-scenario,0_normal,gpt-4o,false,1.8,All,I hand you a mug. You now own the mug. You can feel it and look at it in detail from all angles. The mug was originally priced at $ price_value but the value of the mug is different for different individuals. What price would you sell it for? $ __,"{""price_value"": 4}",numerical,,1,2,2024-11-27 15:32:17.565658,100,107,2025-01-04 17:14:56.419830+00:00
10150,101,50,endowment effect,multi-scenario,0_normal,llama3.1,true,0.7,All,I hand you a mug. You now own the mug. You can feel it and look at it in detail from all angles. The mug was originally priced at $ price_value but the value of the mug is different for different individuals. What price would you sell it for? $ __,"{""price_value"": 4}",numerical,,1,2,2024-11-01 21:45:25.802938,100,100,2025-01-04 17:14:56.419830+00:00
10151,101,51,endowment effect,multi-scenario,0_normal,llama3.1,true,1,All,I hand you a mug. You now own the mug. You can feel it and look at it in detail from all angles. The mug was originally priced at $ price_value but the value of the mug is different for different individuals. What price would you sell it for? $ __,"{""price_value"": 4}",numerical,,1,2,2024-11-04 18:42:37.817364,100,100,2025-01-04 17:14:56.419830+00:00
10152,101,52,endowment effect,multi-scenario,0_normal,llama3.1,true,1.3,All,I hand you a mug. You now own the mug. You can feel it and look at it in detail from all angles. The mug was originally priced at $ price_value but the value of the mug is different for different individuals. What price would you sell it for? $ __,"{""price_value"": 4}",numerical,,1,2,2024-11-04 18:43:20.038069,100,100,2025-01-04 17:14:56.419830+00:00
10153,101,53,endowment effect,multi-scenario,0_normal,llama3.1,true,0.2,All,I hand you a mug. You now own the mug. You can feel it and look at it in detail from all angles. The mug was originally priced at $ price_value but the value of the mug is different for different individuals. What price would you sell it for? $ __,"{""price_value"": 4}",numerical,,1,2,2024-11-07 20:12:02.424239,100,100,2025-01-04 17:14:56.419830+00:00
10154,101,54,endowment effect,multi-scenario,0_normal,llama3.1,true,1.8,All,I hand you a mug. You now own the mug. You can feel it and look at it in detail from all angles. The mug was originally priced at $ price_value but the value of the mug is different for different individuals. What price would you sell it for? $ __,"{""price_value"": 4}",numerical,,1,2,2024-11-07 20:11:42.946842,100,100,2025-01-04 17:14:56.419830+00:00
10160,101,60,endowment effect,multi-scenario,0_normal,llama3.1:70b,true,0.7,Linux,I hand you a mug. You now own the mug. You can feel it and look at it in detail from all angles. The mug was originally priced at $ price_value but the value of the mug is different for different individuals. What price would you sell it for? $ __,"{""price_value"": 4}",numerical,,1,2,2024-11-03 06:31:36.095653,100,100,2025-01-04 17:14:56.419830+00:00
10161,101,61,endowment effect,multi-scenario,0_normal,llama3.1:70b,true,1,Linux,I hand you a mug. You now own the mug. You can feel it and look at it in detail from all angles. The mug was originally priced at $ price_value but the value of the mug is different for different individuals. What price would you sell it for? $ __,"{""price_value"": 4}",numerical,,1,2,2024-11-04 20:03:41.600063,100,100,2025-01-04 17:14:56.419830+00:00
10162,101,62,endowment effect,multi-scenario,0_normal,llama3.1:70b,true,1.3,Linux,I hand you a mug. You now own the mug. You can feel it and look at it in detail from all angles. The mug was originally priced at $ price_value but the value of the mug is different for different individuals. What price would you sell it for? $ __,"{""price_value"": 4}",numerical,,1,2,2024-11-04 20:08:24.409001,100,100,2025-01-04 17:14:56.419830+00:00
10163,101,63,endowment effect,multi-scenario,0_normal,llama3.1:70b,true,0.2,Linux,I hand you a mug. You now own the mug. You can feel it and look at it in detail from all angles. The mug was originally priced at $ price_value but the value of the mug is different for different individuals. What price would you sell it for? $ __,"{""price_value"": 4}",numerical,,1,2,2024-11-08 23:03:03.945765,100,100,2025-01-04 17:14:56.419830+00:00
10164,101,64,endowment effect,multi-scenario,0_normal,llama3.1:70b,true,1.8,Linux,I hand you a mug. You now own the mug. You can feel it and look at it in detail from all angles. The mug was originally priced at $ price_value but the value of the mug is different for different individuals. What price would you sell it for? $ __,"{""price_value"": 4}",numerical,,1,2,2024-11-08 23:11:26.776322,100,100,2025-01-04 17:14:56.419830+00:00
10170,101,70,endowment effect,multi-scenario,0_normal,phi3.5,true,0.7,All,I hand you a mug. You now own the mug. You can feel it and look at it in detail from all angles. The mug was originally priced at $ price_value but the value of the mug is different for different individuals. What price would you sell it for? $ __,"{""price_value"": 4}",numerical,,1,2,2024-11-01 21:31:28.520930,100,100,2025-01-04 17:14:56.419830+00:00
10171,101,71,endowment effect,multi-scenario,0_normal,phi3.5,true,1,All,I hand you a mug. You now own the mug. You can feel it and look at it in detail from all angles. The mug was originally priced at $ price_value but the value of the mug is different for different individuals. What price would you sell it for? $ __,"{""price_value"": 4}",numerical,,1,2,2024-11-04 16:54:37.488120,100,100,2025-01-04 17:14:56.419830+00:00
10172,101,72,endowment effect,multi-scenario,0_normal,phi3.5,true,1.3,All,I hand you a mug. You now own the mug. You can feel it and look at it in detail from all angles. The mug was originally priced at $ price_value but the value of the mug is different for different individuals. What price would you sell it for? $ __,"{""price_value"": 4}",numerical,,1,2,2024-11-04 16:54:50.114649,100,100,2025-01-04 17:14:56.419830+00:00
10173,101,73,endowment effect,multi-scenario,0_normal,phi3.5,true,0.2,All,I hand you a mug. You now own the mug. You can feel it and look at it in detail from all angles. The mug was originally priced at $ price_value but the value of the mug is different for different individuals. What price would you sell it for? $ __,"{""price_value"": 4}",numerical,,1,2,2024-11-07 17:26:00.952211,100,100,2025-01-04 17:14:56.419830+00:00
10174,101,74,endowment effect,multi-scenario,0_normal,phi3.5,true,1.8,All,I hand you a mug. You now own the mug. You can feel it and look at it in detail from all angles. The mug was originally priced at $ price_value but the value of the mug is different for different individuals. What price would you sell it for? $ __,"{""price_value"": 4}",numerical,,1,2,2024-11-07 17:26:13.360430,100,100,2025-01-04 17:14:56.419830+00:00
10180,101,80,endowment effect,multi-scenario,0_normal,phi3:medium,true,0.7,All,I hand you a mug. You now own the mug. You can feel it and look at it in detail from all angles. The mug was originally priced at $ price_value but the value of the mug is different for different individuals. What price would you sell it for? $ __,"{""price_value"": 4}",numerical,,1,2,2024-11-01 22:18:17.670647,100,100,2025-01-04 17:14:56.419830+00:00
10181,101,81,endowment effect,multi-scenario,0_normal,phi3:medium,true,1,All,I hand you a mug. You now own the mug. You can feel it and look at it in detail from all angles. The mug was originally priced at $ price_value but the value of the mug is different for different individuals. What price would you sell it for? $ __,"{""price_value"": 4}",numerical,,1,2,2024-11-04 19:38:15.178964,100,100,2025-01-04 17:14:56.419830+00:00
10182,101,82,endowment effect,multi-scenario,0_normal,phi3:medium,true,1.3,All,I hand you a mug. You now own the mug. You can feel it and look at it in detail from all angles. The mug was originally priced at $ price_value but the value of the mug is different for different individuals. What price would you sell it for? $ __,"{""price_value"": 4}",numerical,,1,2,2024-11-04 19:34:21.373009,100,100,2025-01-04 17:14:56.419830+00:00
10183,101,83,endowment effect,multi-scenario,0_normal,phi3:medium,true,0.2,All,I hand you a mug. You now own the mug. You can feel it and look at it in detail from all angles. The mug was originally priced at $ price_value but the value of the mug is different for different individuals. What price would you sell it for? $ __,"{""price_value"": 4}",numerical,,1,2,2024-11-08 17:58:07.452198,100,100,2025-01-04 17:14:56.419830+00:00
10184,101,84,endowment effect,multi-scenario,0_normal,phi3:medium,true,1.8,All,I hand you a mug. You now own the mug. You can feel it and look at it in detail from all angles. The mug was originally priced at $ price_value but the value of the mug is different for different individuals. What price would you sell it for? $ __,"{""price_value"": 4}",numerical,,1,2,2024-11-27 15:00:39.426531,100,101,2025-01-04 17:14:56.419830+00:00
10190,101,90,endowment effect,multi-scenario,0_normal,claude-3-haiku,False,0.7,All,I hand you a mug. You now own the mug. You can feel it and look at it in detail from all angles. The mug was originally priced at $ price_value but the value of the mug is different for different individuals. What price would you sell it for? $ __,"{""price_value"": 4}",numerical,,1,2,2024-12-16 09:55:55.160179,100,100,2025-01-04 17:14:56.419830+00:00
10191,101,91,endowment effect,multi-scenario,0_normal,claude-3-haiku,False,1.0,All,I hand you a mug. You now own the mug. You can feel it and look at it in detail from all angles. The mug was originally priced at $ price_value but the value of the mug is different for different individuals. What price would you sell it for? $ __,"{""price_value"": 4}",numerical,,1,2,2024-12-16 09:58:14.155922,100,100,2025-01-04 17:14:56.419830+00:00
10192,101,92,endowment effect,multi-scenario,0_normal,claude-3-haiku,False,1.3,All,I hand you a mug. You now own the mug. You can feel it and look at it in detail from all angles. The mug was originally priced at $ price_value but the value of the mug is different for different individuals. What price would you sell it for? $ __,"{""price_value"": 4}",numerical,,1,2,2024-12-16 10:00:33.285485,100,100,2025-01-04 17:14:56.419830+00:00
10193,101,93,endowment effect,multi-scenario,0_normal,claude-3-haiku,False,0.2,All,I hand you a mug. You now own the mug. You can feel it and look at it in detail from all angles. The mug was originally priced at $ price_value but the value of the mug is different for different individuals. What price would you sell it for? $ __,"{""price_value"": 4}",numerical,,1,2,2024-12-15 21:02:36.139523,100,100,2025-01-04 17:14:56.419830+00:00
10194,101,94,endowment effect,multi-scenario,0_normal,claude-3-haiku,False,1.8,All,I hand you a mug. You now own the mug. You can feel it and look at it in detail from all angles. The mug was originally priced at $ price_value but the value of the mug is different for different individuals. What price would you sell it for? $ __,"{""price_value"": 4}",numerical,,1,2,2024-12-15 21:05:02.793579,100,100,2025-01-04 17:14:56.419830+00:00
10200,101,100,endowment effect,multi-scenario,0_normal,claude-3.5-sonnet,False,0.7,All,I hand you a mug. You now own the mug. You can feel it and look at it in detail from all angles. The mug was originally priced at $ price_value but the value of the mug is different for different individuals. What price would you sell it for? $ __,"{""price_value"": 4}",numerical,,1,2,2024-12-16 21:36:40.015899,100,100,2025-01-04 17:14:56.419830+00:00
10201,101,101,endowment effect,multi-scenario,0_normal,claude-3.5-sonnet,False,1.0,All,I hand you a mug. You now own the mug. You can feel it and look at it in detail from all angles. The mug was originally priced at $ price_value but the value of the mug is different for different individuals. What price would you sell it for? $ __,"{""price_value"": 4}",numerical,,1,2,2024-12-16 21:33:33.191481,100,100,2025-01-04 17:14:56.419830+00:00
10202,101,102,endowment effect,multi-scenario,0_normal,claude-3.5-sonnet,False,1.3,All,I hand you a mug. You now own the mug. You can feel it and look at it in detail from all angles. The mug was originally priced at $ price_value but the value of the mug is different for different individuals. What price would you sell it for? $ __,"{""price_value"": 4}",numerical,,1,2,2024-12-16 21:31:22.391800,100,100,2025-01-04 17:14:56.419830+00:00
10203,101,103,endowment effect,multi-scenario,0_normal,claude-3.5-sonnet,False,0.2,All,I hand you a mug. You now own the mug. You can feel it and look at it in detail from all angles. The mug was originally priced at $ price_value but the value of the mug is different for different individuals. What price would you sell it for? $ __,"{""price_value"": 4}",numerical,,1,2,2024-12-16 21:29:24.776517,100,100,2025-01-04 17:14:56.419830+00:00
10204,101,104,endowment effect,multi-scenario,0_normal,claude-3.5-sonnet,False,1.8,All,I hand you a mug. You now own the mug. You can feel it and look at it in detail from all angles. The mug was originally priced at $ price_value but the value of the mug is different for different individuals. What price would you sell it for? $ __,"{""price_value"": 4}",numerical,,1,2,2024-12-17 09:00:23.829059,100,100,2025-01-04 17:14:56.419830+00:00
10210,102,10,endowment effect,multi-scenario,0_normal,gemma2,true,0.7,All,I show you a mug from a distance. You can see it but you cannot touch it. The mug was originally priced at $ price_value but the value of the mug is different for different individuals. What price would you buy it for? $ __,"{""price_value"": 4}",numerical,,2,2,2024-11-01 22:05:46.096643,100,100,2025-01-04 17:14:56.419830+00:00
10211,102,11,endowment effect,multi-scenario,0_normal,gemma2,true,1,All,I show you a mug from a distance. You can see it but you cannot touch it. The mug was originally priced at $ price_value but the value of the mug is different for different individuals. What price would you buy it for? $ __,"{""price_value"": 4}",numerical,,2,2,2024-11-04 18:01:57.255285,100,100,2025-01-04 17:14:56.419830+00:00
