bias_id,bias,experiment_type,scenario,content,variables,response_type,target_response,part,parts_total,updated_at
101,endowment effect,multi-scenario,0_normal,I hand you a mug. You now own the mug. You can feel it and look at it in detail from all angles. The mug was originally priced at $ price_value but the value of the mug is different for different individuals. What price would you sell it for? $ __,"{""price_value"": 4}",numerical,,1,2,2024-09-23 14:09:00.219877
102,endowment effect,multi-scenario,0_normal,I show you a mug from a distance. You can see it but you cannot touch it. The mug was originally priced at $ price_value but the value of the mug is different for different individuals. What price would you buy it for? $ __,"{""price_value"": 4}",numerical,,2,2,2024-09-23 14:09:00.219877
111,endowment effect,multi-scenario,1_persona,I hand you a mug. You now own the mug. You can feel it and look at it in detail from all angles. The mug was originally priced at $ price_value but the value of the mug is different for different individuals. What price would you sell it for? $ __,"{""price_value"": 4}",numerical,,1,2,
112,endowment effect,multi-scenario,1_persona,I show you a mug from a distance. You can see it but you cannot touch it. The mug was originally priced at $ price_value but the value of the mug is different for different individuals. What price would you buy it for? $ __,"{""price_value"": 4}",numerical,,2,2,
121,endowment effect,multi-scenario,2_odd_numbers,I hand you a mug. You now own the mug. You can feel it and look at it in detail from all angles. The mug was originally priced at $ price_value but the value of the mug is different for different individuals. What price would you sell it for? $ __,"{""price_value"": 39}",numerical,None,1,2,
122,endowment effect,multi-scenario,2_odd_numbers,I show you a mug from a distance. You can see it but you cannot touch it. The mug was originally priced at $ price_value but the value of the mug is different for different individuals. What price would you buy it for? $ __,"{""price_value"": 39}",numerical,None,2,2,
131,endowment effect,multi-scenario,3_large_numbers,I hand you a mug. You now own the mug. You can feel it and look at it in detail from all angles. The mug was originally priced at $ price_value but the value of the mug is different for different individuals. What price would you sell it for? $ __,"{""price_value"": 222222}",numerical,None,1,2,
132,endowment effect,multi-scenario,3_large_numbers,I show you a mug from a distance. You can see it but you cannot touch it. The mug was originally priced at $ price_value but the value of the mug is different for different individuals. What price would you buy it for? $ __,"{""price_value"": 222222}",numerical,None,2,2,
201,loss aversion,multi-scenario,0_normal,"Assume yourself richer by $ richer_value than you are today. You are offered a choice between A. A sure gain of $ sure_gain_value, or B. A 50% chance to gain $ gain_value and a 50% chance to lose $ 0. Choose between A and B. __","{""richer_value"": 300, ""sure_gain_value"": 100, ""gain_value"": 200}",choice,A,1,2,
202,loss aversion,multi-scenario,0_normal,"Assume yourself richer by $ richer_value than you are today. You are offered a choice between A. A sure loss of $ sure_loss_value, or B. A 50% chance to lose $ loss_value and a 50% chance to lose $ 0. Choose between A and B. __","{""richer_value"": 500, ""sure_loss_value"": 100, ""loss_value"": 200}",choice,A,2,2,
